XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x00005A700000
steam_api64.dll                  0x00005A710000
PowerGridTools.dll               0x01FF89410000
Fallout4.exe                     0x7FF6E9FA0000
nvcuda64.dll                     0x7FF9B31C0000
steamclient64.dll                0x7FF9B3B80000
nvwgf2umx.dll                    0x7FF9B5190000
d3dcompiler_47_64.dll            0x7FF9D1450000
NvCamera64.dll                   0x7FF9D1860000
Buffout4.dll                     0x7FF9D4160000
SUP_F4SE.dll                     0x7FF9E4A80000
gameoverlayrenderer64.dll        0x7FF9ED7F0000
tier0_s64.dll                    0x7FF9F7810000
DiscordHook64.dll                0x7FF9F9350000
XAudio2_7.dll                    0x7FFA00BF0000
wsfw_identifier.dll              0x7FFA00C80000
RobCo_Patcher.dll                0x7FFA01770000
NVIDIA_Reflex.dll                0x7FFA026B0000
MODExplorer.dll                  0x7FFA02CF0000
BakaFramework.dll                0x7FFA03810000
nvspcap64.dll                    0x7FFA07020000
XDI.dll                          0x7FFA07780000
MessageBus.dll                   0x7FFA07F70000
f4se_1_10_163.dll                0x7FFA090B0000
flexRelease_x64.dll              0x7FFA097C0000
gdiplus.dll                      0x7FFA0AA20000
MessageBus.dll                   0x7FFA0B0F0000
mcm.dll                          0x7FFA0C1D0000
LongLoadingTimesFix.dll          0x7FFA0DA20000
HighFPSPhysicsFix.dll            0x7FFA0DD30000
BulletCountedReload.dll          0x7FFA0F2C0000
cudart64_75.dll                  0x7FFA0F350000
ResampleDmo.DLL                  0x7FFA10B90000
TextShaping.dll                  0x7FFA13050000
DINPUT8.dll                      0x7FFA13300000
nvapi64.dll                      0x7FFA13680000
MSVCR110.dll                     0x7FFA140D0000
GFSDK_GodraysLib.x64.dll         0x7FFA143C0000
BakaScrapHeap.dll                0x7FFA14420000
vstdlib_s64.dll                  0x7FFA144F0000
Windows.UI.dll                   0x7FFA15B40000
textinputframework.dll           0x7FFA164F0000
GFSDK_SSAO_D3D11.win64.dll       0x7FFA17120000
Secur32.dll                      0x7FFA171B0000
SprintSpeedController.dll        0x7FFA174A0000
flexExtRelease_x64.dll           0x7FFA174F0000
MSVCP110.dll                     0x7FFA17550000
COMCTL32.dll                     0x7FFA17BE0000
bink2w64.dll                     0x7FFA185B0000
BakaWaitAnywhere.dll             0x7FFA18880000
Interior-NavCut-Fix.dll          0x7FFA18F80000
crafting_highlight_fix.dll       0x7FFA190B0000
DSOUND.DLL                       0x7FFA19EC0000
inputhost.dll                    0x7FFA207A0000
BetterScrounger.dll              0x7FFA214C0000
MMDevApi.dll                     0x7FFA22700000
dbghelp.dll                      0x7FFA227A0000
WeaponDebrisCrashFix.dll         0x7FFA229D0000
ncryptsslp.dll                   0x7FFA235A0000
encounter_zone_recalculation.dll 0x7FFA23600000
WININET.dll                      0x7FFA24280000
winmmbase.dll                    0x7FFA248C0000
VCRUNTIME140_1.dll               0x7FFA24960000
MSVCP140.dll                     0x7FFA25270000
VCRUNTIME140.dll                 0x7FFA25300000
nvldumdx.dll                     0x7FFA26770000
f4se_steam_loader.dll            0x7FFA26830000
SprintStutteringFix.dll          0x7FFA26A60000
AUDIOSES.DLL                     0x7FFA273C0000
CONCRT140.dll                    0x7FFA27600000
nvToolsExt64_1.dll               0x7FFA27D80000
MpOav.dll                        0x7FFA284B0000
amsi.dll                         0x7FFA28530000
webio.dll                        0x7FFA28550000
wbemsvc.dll                      0x7FFA286D0000
fastprox.dll                     0x7FFA286F0000
wbemcomn.dll                     0x7FFA29160000
wbemprox.dll                     0x7FFA291E0000
drvstore.dll                     0x7FFA2A0E0000
cryptnet.dll                     0x7FFA2A4E0000
VERSION.dll                      0x7FFA2A520000
XINPUT9_1_0.dll                  0x7FFA2A6D0000
CoreUIComponents.dll             0x7FFA2B690000
fwpuclnt.dll                     0x7FFA2BA40000
directxdatabasehelper.dll        0x7FFA2BF00000
WINMM.dll                        0x7FFA2C880000
rasadhlp.dll                     0x7FFA2C950000
dhcpcsvc.DLL                     0x7FFA2CB50000
dhcpcsvc6.DLL                    0x7FFA2CB90000
WINHTTP.dll                      0x7FFA2CC40000
avrt.dll                         0x7FFA2CE80000
msdmo.dll                        0x7FFA2E7E0000
D3DCompiler_47.dll               0x7FFA2EB20000
WindowsCodecs.dll                0x7FFA2EF10000
d3d11.dll                        0x7FFA2F440000
dcomp.dll                        0x7FFA2FC70000
CoreMessaging.dll                0x7FFA302D0000
uxtheme.dll                      0x7FFA306C0000
dxgi.dll                         0x7FFA30820000
WINNSI.DLL                       0x7FFA30980000
dwmapi.dll                       0x7FFA30990000
dxcore.dll                       0x7FFA309C0000
resourcepolicyclient.dll         0x7FFA30C60000
wintypes.dll                     0x7FFA31050000
windows.storage.dll              0x7FFA31190000
HID.DLL                          0x7FFA31A80000
IPHLPAPI.DLL                     0x7FFA31D50000
DNSAPI.dll                       0x7FFA31DC0000
UMPDC.dll                        0x7FFA32080000
powrprof.dll                     0x7FFA320A0000
schannel.DLL                     0x7FFA32140000
rsaenh.dll                       0x7FFA32250000
kernel.appcore.dll               0x7FFA322E0000
ntmarta.dll                      0x7FFA32300000
SSPICLI.DLL                      0x7FFA32540000
MSWSOCK.dll                      0x7FFA32760000
USERENV.dll                      0x7FFA32850000
CRYPTSP.dll                      0x7FFA329B0000
CRYPTBASE.DLL                    0x7FFA329D0000
wldp.dll                         0x7FFA32A60000
msasn1.dll                       0x7FFA32AE0000
NTASN1.dll                       0x7FFA32B00000
ncrypt.dll                       0x7FFA32B40000
bcrypt.dll                       0x7FFA32B70000
devobj.dll                       0x7FFA32E70000
cfgmgr32.dll                     0x7FFA32EA0000
DPAPI.DLL                        0x7FFA32F10000
profapi.dll                      0x7FFA330E0000
win32u.dll                       0x7FFA331B0000
bcryptPrimitives.dll             0x7FFA331E0000
wintrust.dll                     0x7FFA33260000
KERNELBASE.dll                   0x7FFA332D0000
gdi32full.dll                    0x7FFA33680000
ucrtbase.dll                     0x7FFA33860000
CRYPT32.dll                      0x7FFA33980000
msvcp_win.dll                    0x7FFA33AF0000
SHCORE.dll                       0x7FFA33B90000
imagehlp.dll                     0x7FFA33DF0000
RPCRT4.dll                       0x7FFA33E10000
NSI.dll                          0x7FFA33F30000
OLEAUT32.dll                     0x7FFA34100000
sechost.dll                      0x7FFA341E0000
ole32.dll                        0x7FFA34290000
SHELL32.dll                      0x7FFA34450000
ADVAPI32.dll                     0x7FFA34C70000
SETUPAPI.dll                     0x7FFA34D20000
KERNEL32.DLL                     0x7FFA351F0000
IMM32.DLL                        0x7FFA352C0000
combase.dll                      0x7FFA35300000
MSCTF.dll                        0x7FFA35690000
PSAPI.DLL                        0x7FFA357C0000
USER32.dll                       0x7FFA35860000
COMDLG32.dll                     0x7FFA35A10000
WS2_32.dll                       0x7FFA35B10000
clbcatq.dll                      0x7FFA35B90000
shlwapi.dll                      0x7FFA35C40000
msvcrt.dll                       0x7FFA35CA0000
GDI32.dll                        0x7FFA35D50000
ntdll.dll                        0x7FFA35DD0000
